did,mid,name,year,gender,country
231641,228547,Mel Powell,1923,1,United States
5114086,1012643,Zac Zinger,,1,New York
2689258,951894,Bixiga 70,2010,,São Paulo
362731,1019966,Andrzej Trzaskowski,1933,1,Poland
1968364,577824,Mário Adnet,1957,1,Brazil
231672,80070,Yesterdays New Quintet,2001,,United States
599643,247869,Willie Pickens,1931,1,United States
624894,1131730,Nick Kirksey,,1,United States
428305,125947,Claudia Schmidt,1953,2,United States
362770,661748,Martin France,1964,1,United Kingdom
526612,288450,Jacob Young,1970,1,Norway
624917,957985,Seneca Black,,1,United States
198935,139601,David Moss,1949,1,United States
198936,66759,Guy Klucevsek,1947,1,United States
198937,282252,Tom Cora,1953,1,United States
1083680,581076,Elizabeth Pupo-Walker,,2,United States
297257,124839,Leo Gandelman,1956,1,Brazil
297258,1039677,Lincoln Olivetti,1954,1,Brazil
297259,496172,Marcio Montarroyos,1948,1,Brazil
264492,21945,Don Pullen,1941,1,United States
264493,4758,Chico Freeman,1949,1,United States
297262,1039682,Robson Jorge,1954,1,Brazil
264494,465059,Kirk Lightsey,1937,1,United States
297269,350601,Jon Hiseman,1944,1,United Kingdom
493880,1556953,Christer Bothén,1941,1,Sweden
3541303,654175,Keyon Harrold,1980,1,United States
493884,358517,Bengt Berger,1942,1,Sweden
362813,32922,Marion Brown Quartet,,,United States
220221,414912,Horace Ott,1933,1,United States
264503,409426,Timo Lassy,1974,1,Finland
493882,106214,Archimedes Badkar,1972,,Sweden
264514,47689,Masada,1993,,United States
887100,1098976,Peter Wertheimer,1947,1,Romania
297288,132412,Darol Anger,1953,1,United States
493920,1545844,Simon Niblock,,1,United Kingdom
493921,1545852,Adam Linsley,,1,United Kingdom
493922,528325,Andy Wood,,1,United Kingdom
493925,1545848,Pete Cater,,1,United Kingdom
362855,886862,Owen Eugene Marshall,1926,1,United States
264552,2014852,Murray Weinstock,,1,United States
264553,578915,Marky Markowitz,1923,1,United States
264555,962865,Harvey Estrin,1929,1,United States
264556,381478,Jerry Friedman,,1,United States
264563,259468,Laurel Massé,1951,2,United States
264565,232171,Seldon Powell,1928,1,United States
625015,185239,Melvin Davis,1942,1,United States
264567,1378878,Mickey Gravine,,1,United States
264569,385443,George Young,1937,1,United States
264570,384922,Alan Raph,1933,1,United States
264572,364401,George Dorsey,,1,United States
330110,347776,André Orvik,,1,Norway
35199,6768,Billy Cobham,1944,1,Switzerland
35204,248368,Will Gregory,1959,1,United Kingdom
821644,1263056,Stan Strickland,,1,United States
1116560,163811,José Mário Branco,1942,1,Portugal
592273,154175,Βασίλης Τσαμπρόπουλος,1966,1,Greece
592274,334467,Anja Lechner,1961,2,Germany
330138,267104,Chuck Connors,1930,1,United States
493988,958886,Harold Cardwell,1940,1,United States
8260007,2107049,Apifera,,,Israel
330153,99536,The Jimmy Giuffre Trio,,,United States
330155,862238,The Chico Hamilton Quintet,,,United States
264620,548919,Idrees Sulieman,1923,1,United States
264626,436390,Clifford Jordan,1931,1,United States
362931,389654,Leonard Malarsky,,1,United States
362933,711283,Leonard Selic,,,United States
362932,389658,Sid Sharp,1919,1,United States
2482,61745,Isabelle Antena,1960,2,France
690624,384289,Ballaké Sissoko,1968,1,Mali
330180,292239,Frank Emilio,1921,1,Cuba
264647,366246,Steve Swell,1954,1,United States
